param_id	label	dates	trades	wins	win_rate	total_pnl	avg_daily_pnl	max_win	max_loss	sharpe	strike_range	rsi_os	rsi_ob	opt_rsi_os	opt_rsi_ob	stop_loss	tp_mult	time_start	time_end	max_pos
baseline	Baseline (DEFAULT_CONFIG)	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	30	70	50	5	09:30	15:45	3
strike-40	Strike range ±40	1	5	3	0.600	10332	10332	4213	-130	0.000	40	20	80	30	70	50	5	09:30	15:45	3
strike-80	Strike range ±80	1	3	3	1.000	11523	11523	4330	0	0.000	80	20	80	30	70	50	5	09:30	15:45	3
strike-100	Strike range ±100	1	3	3	1.000	11523	11523	4330	0	0.000	100	20	80	30	70	50	5	09:30	15:45	3
strike-120	Strike range ±120	1	3	3	1.000	10018	10018	4330	0	0.000	120	20	80	30	70	50	5	09:30	15:45	3
strike-150	Strike range ±150	1	3	3	1.000	10018	10018	4330	0	0.000	150	20	80	30	70	50	5	09:30	15:45	3
rsi-15-85	RSI 15/85	1	4	3	0.750	10246	10246	4870	-120	0.000	60	15	85	30	70	50	5	09:30	15:45	3
rsi-25-75	RSI 25/75	1	4	3	0.750	10246	10246	4870	-120	0.000	60	25	75	30	70	50	5	09:30	15:45	3
rsi-30-70	RSI 30/70	1	4	3	0.750	10246	10246	4870	-120	0.000	60	30	70	30	70	50	5	09:30	15:45	3
optrsi-25-75	Option RSI 25/75	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	25	75	50	5	09:30	15:45	3
optrsi-35-65	Option RSI 35/65	1	3	3	1.000	12957	12957	4870	0	0.000	60	20	80	35	65	50	5	09:30	15:45	3
stop40-tp3	SL 40% / TP 3x	1	4	2	0.500	6762	6762	4870	-2348	0.000	60	20	80	30	70	40	3	09:30	15:45	3
stop60-tp5	SL 60% / TP 5x	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	30	70	60	5	09:30	15:45	3
stop70-tp5	SL 70% / TP 5x	1	4	2	0.500	8580	8580	4870	-480	0.000	60	20	80	30	70	70	5	09:30	15:45	3
stop70-tp8	SL 70% / TP 8x	1	4	2	0.500	8580	8580	4870	-480	0.000	60	20	80	30	70	70	8	09:30	15:45	3
stop80-tp8	SL 80% / TP 8x	1	4	4	1.000	15315	15315	4870	0	0.000	60	20	80	30	70	80	8	09:30	15:45	3
stop80-tp10	SL 80% / TP 10x	1	4	4	1.000	15315	15315	4870	0	0.000	60	20	80	30	70	80	10	09:30	15:45	3
time-morning	Time: morning (09:30-11:30)	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	30	70	50	5	09:30	11:30	3
time-midday	Time: midday (11:00-14:00)	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	30	70	50	5	11:00	14:00	3
time-afternoon	Time: afternoon (13:00-15:45)	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	30	70	50	5	13:00	15:45	3
time-power-hour	Time: power-hour (14:00-15:45)	1	4	3	0.750	10246	10246	4870	-120	0.000	60	20	80	30	70	50	5	14:00	15:45	3
maxpos-2	Max positions: 2	1	2	2	1.000	9200	9200	4870	0	0.000	60	20	80	30	70	50	5	09:30	15:45	2
maxpos-5	Max positions: 5	1	6	4	0.667	7635	7635	4870	-4651	0.000	60	20	80	30	70	50	5	09:30	15:45	5
combo-wide-tight	Wide strike(120) + RSI 15/85 + SL 70%/TP 8x	1	3	3	1.000	10018	10018	4330	0	0.000	120	15	85	30	70	70	8	09:30	15:45	3
combo-morning-tight	Morning only + Strike 60 + RSI 25/75	1	4	3	0.750	10246	10246	4870	-120	0.000	60	25	75	30	70	50	5	09:30	11:30	3
combo-afternoon-wide	Afternoon + Strike 120 + RSI 20/80 + SL 80%/TP 10x	1	3	3	1.000	10018	10018	4330	0	0.000	120	20	80	30	70	80	10	13:00	15:45	3
combo-power-hour	Power hour + Strike 150 + RSI 15/85 + SL 80%/TP 10x + 5 pos	1	5	5	1.000	17324	17324	5445	0	0.000	150	15	85	30	70	80	10	14:00	15:45	5
combo-conservative	Conservative: Strike 40 + RSI 30/70 + SL 40%/TP 3x + 2 pos	1	3	2	0.667	2884	2884	4213	-1700	0.000	40	30	70	35	65	40	3	09:30	15:45	2
combo-wide-optrsi	Strike 120 + OptionRSI 25/75 + SL 60%/TP 5x	1	3	3	1.000	10018	10018	4330	0	0.000	120	20	80	25	75	60	5	09:30	15:45	3
